currency_co,open_dt,agreement_amt_rub,applied_amt_rub,month_pay_rub,term_cnt,region_name,score_day,score_hour,age,born_in_russia,gender,marital,education,child_minor,reg_fact,residence_period,work_status,website,gen_property,gen_exp,pre_exp,gen_industry,salary300,income_confirmation,flat_owner,house_owner,auto_owner,garage_owner,land_owner,account_owner,card_owner,current_credit,email_shown,work_phone_shown,home_phone_shown,current_phone_shown,mobile_phone_shown,phone_work_same,phone_reg_same,reg_state,auto_number_shown,inn_number_shown,drvlic_number_shown,pension_number_shown,UCI,OL,child_adult,previous_score,default
nom,lin,lin,lin,lin,lin,nom,nom,lin,lin,bin,bin,nom,nom,lin,bin,lin,nom,bin,nom,lin,lin,nom,lin,bin,nom,nom,nom ,bin,bin,bin,nom,bin,bin,bin,bin,bin,bin,bin,bin,nom,bin,bin,bin,bin,lin,lin,bin,lin,bin
1,733566,171000,250000,6292,36,2,5,11,52,1,0,2,2,0,1,36,2,0,4,211,36,3,21680,1,2,1,2,0,0,0,1,0,0,1,1,1,1,0,0,8,0,0,0,1,0,0,1,39.3,0
1,733569,150000,150000,6344.19,60,2,7,15,26,1,0,3,2,0,1,300,2,0,1,46,3,4,22700,1,1,1,2,0,0,1,1,1,0,1,1,1,1,0,0,8,0,0,1,1,0,2731.81,0,41.6294519,1
1,733569,100000,100000,10340,60,2,5,13,30,1,1,2,1,0,0,12,3,1,5,11,36,3,50000,2,1,1,1,0,0,1,3,0,1,1,1,1,1,0,0,8,0,0,1,0,0,15000,0,35.8,0
1,733569,300000,300000,31200,48,2,5,11,48,1,0,3,2,0,1,228,2,0,1,237,0,4,64000,1,3,1,2,0,0,0,2,0,0,1,1,1,1,0,0,8,1,0,0,1,0,2600,1,49.3,0
1,733662,165321,200000,4380,60,2,4,12,32,1,0,2,3,1,1,24,2,0,4,168,0,9,16000,1,2,1,2,0,0,0,1,0,1,1,1,1,1,0,0,10,0,0,0,1,0,200,0,43.3,0
1,733662,117576,150000,3050,60,5,4,6,42,1,0,2,1,1,0,84,2,0,1,168,120,2,11500,1,1,1,2,0,0,0,2,1,0,1,1,1,1,0,0,16,0,0,0,1,0,3150,1,46.3,0
1,733551,300000,300000,8260,60,2,4,13,38,0,1,2,2,0,1,12,2,0,5,4,24,21,32000,2,2,1,2,0,0,1,2,0,0,1,1,1,1,0,0,8,1,1,1,0,0,4320,0,36.50833333,0
1,733554,200000,250000,13065,60,2,5,11,26,1,0,1,4,0,1,192,2,1,5,8,0,20,35000,1,1,1,2,0,0,0,2,1,1,1,1,1,1,0,0,8,1,0,0,0,10000,9400,0,36.41631206,0
1,733555,150000,250000,8080,60,2,2,15,40,1,1,2,1,2,1,120,1,0,1,72,1,2,13000,1,3,1,2,0,0,1,2,0,0,1,0,0,1,0,0,17,0,0,1,0,24000,7700,0,38.144,0
1,733555,200000,200000,8180,60,2,3,12,26,1,0,2,1,2,1,288,3,0,5,14,2,20,40000,1,3,1,1,0,0,1,2,0,0,1,1,1,1,0,0,9,0,0,1,0,0,19500,0,43.3,1
1,733555,200000,200000,23680,60,2,4,17,45,1,1,2,3,1,1,24,2,0,5,36,5,24,50000,1,2,1,2,0,0,1,2,0,1,1,1,0,1,0,0,8,0,0,0,1,0,6000,1,50.3,1
1,733555,150000,150000,7410,36,2,3,11,31,1,0,1,3,0,1,348,4,0,1,116,0,13,23400,2,2,1,2,0,0,1,2,0,1,1,1,1,1,0,0,8,0,1,0,0,0,2300,0,43.3,0
1,733555,135000,150000,12445,12,2,3,14,25,1,0,3,3,0,1,180,2,1,5,22,11,3,37000,1,3,1,2,0,0,1,3,0,0,1,1,0,1,0,0,9,0,0,1,0,0,5500,0,35.39090909,0
3,733551,296498.75,474398,512053.3413,60,2,4,19,25,1,0,2,3,0,1,96,2,1,5,6,7,6,55000,1,1,1,2,0,0,1,2,0,0,1,1,1,1,0,0,9,1,0,0,0,0,2000,0,41.3,0
1,733554,150000,150000,33000,12,2,2,10,40,1,0,3,3,0,1,468,3,0,2,68,36,1,55000,1,1,3,2,0,0,0,3,0,1,1,1,1,1,0,0,9,0,0,0,0,0,3000,1,51.8,0
1,733555,120000,120000,7400,36,2,6,17,35,1,0,2,2,2,1,408,2,0,2,24,0,21,28000,1,1,1,2,0,0,0,2,0,0,1,1,1,1,0,0,9,0,0,0,1,0,12200,0,36.3,1
